"Country/Region"	"Confirmed"	"Deaths"	"Recovered"	"Active"	"New cases"	"New deaths"	"New recovered"	"Deaths / 100 Cases"	"Recovered / 100 Cases"	"Deaths / 100 Recovered"	"Confirmed last week"	"1 week change"	"1 week % increase"	"Eastern Mediterranean Dummy"	"Europe Dummy"	"Africa Dummy"	"Americas Dummy"	"Western Pacific Dummy"	"South-East Asia Dummy"
"44"	"Russia"	816680	13334	602249	201097	5607	85	3077	1.63	73.74	"2.21"	776212	40468	5.21	NA	1	NA	NA	NA	NA
"45"	"San Marino"	699	42	657	0	0	0	0	6.01	93.99	"6.39"	699	0	0	NA	1	NA	NA	NA	NA
"46"	"Serbia"	24141	543	0	23598	411	9	0	2.25	0	NA	21253	2888	13.59	NA	1	NA	NA	NA	NA
"47"	"Slovakia"	2181	28	1616	537	2	0	39	1.28	74.09	"1.73"	1980	201	10.15	NA	1	NA	NA	NA	NA
"48"	"Slovenia"	2087	116	1733	238	5	0	55	5.56	83.04	"6.69"	1953	134	6.86	NA	1	NA	NA	NA	NA
"49"	"Spain"	272421	28432	150376	93613	0	0	0	10.44	55.2	"18.91"	264836	7585	2.86	NA	1	NA	NA	NA	NA
"50"	"Sweden"	79395	5700	0	73695	398	3	0	7.18	0	NA	78048	1347	1.73	NA	1	NA	NA	NA	NA
"51"	"Switzerland"	34477	1978	30900	1599	65	1	200	5.74	89.62	"6.4"	33634	843	2.51	NA	1	NA	NA	NA	NA
"52"	"Tajikistan"	7235	60	6028	1147	43	1	58	0.83	83.32	"1"	6921	314	4.54	NA	1	NA	NA	NA	NA
"53"	"Turkey"	227019	5630	210469	10920	919	17	982	2.48	92.71	"2.67"	220572	6447	2.92	NA	1	NA	NA	NA	NA
"54"	"Ukraine"	67096	1636	37202	28258	835	11	317	2.44	55.45	"4.4000000000000004"	60767	6329	10.42	NA	1	NA	NA	NA	NA
"55"	"United Kingdom"	301708	45844	1437	254427	688	7	3	15.19	0.48	"3190.26"	296944	4764	1.6	NA	1	NA	NA	NA	NA
"56"	"Uzbekistan"	21209	121	11674	9414	678	5	569	0.57	55.04	"1.04"	17149	4060	23.67	NA	1	NA	NA	NA	NA
